Classifier,precision,accuracy,f1 score,recall,training time
"Decision Tree: Gini, Depth: 5",0.6805556073750021,0.696,0.6883893648097573,0.6964055683938446,0:00:01.760000
"Decision Tree: Gini, Depth: 10",0.7777546612772112,0.77,0.7754393810314759,0.7731378444831477,0:00:03.496000
"Decision Tree: Entropy, Depth: 5",0.731918171473591,0.702,0.7205925815359517,0.7096121515420488,0:00:03.028000
"Decision Tree: Entropy, Depth: 10",0.797428126950005,0.788,0.7944535877442936,0.7915011571193264,0:00:07.066000
KNN,0.8362498401531905,0.827,0.8322182684737534,0.8282253828106381,0:00:00.580000
SVM,0.010499999999999999,0.105,0.019004524886877826,0.1,0:03:24.192000
Random Forest,0.8368058263574156,0.832,0.8358606506570216,0.8349176077075342,0:00:01.420000
"Multilayer perception, Neurons: 50",0.7866550234753322,0.766,0.7778046487180579,0.7691512031922337,0:00:08.764000
"Multilayer perception, Neurons: 100",0.8139741599399286,0.789,0.8050507515182904,0.7963208719656654,0:00:08.259000
"Multilayer perception, Neurons: 100, 10",0.20412035333087966,0.24,0.22432852244420826,0.24897761645493044,0:00:11.992000
"Multilayer perception, Neurons: 50, 20",0.7910231985896476,0.74,0.768557750583976,0.7473331222411426,0:00:09.828000
KNN_dataSplit,0.8194555493859245,0.813,0.8166112512066604,0.813786629626283,0:00:00.480000
SVM_dataSplit,0.0097,0.097,0.017684594348222425,0.1,0:03:18.367000
